Year;Month;Day;Hour;Az;hs;G_Bn;G_Dh;G_Gh;Ta;Tsky;N;FF;DD;RH;p
2005;1;1;1;-171.5;0;0;0;0;16.6;8.4;8;1.9;173;84;1010
2005;1;1;2;-107.5;0;0;0;0;16.4;5.9;8;1.3;162;70;1010
2005;1;1;3;-93.6;0;0;0;0;16.1;6;8;1.1;204;72;1010
2005;1;1;4;-86.5;0;0;0;0;16;6.4;8;1.5;265;76;1010
2005;1;1;5;-81;0;0;0;0;15.8;6.9;8;1.5;218;80;1010
2005;1;1;6;-75.3;0;0;0;0;15.7;6.6;8;1.8;207;78;1010
2005;1;1;7;-69.4;0;0;0;0;15.6;6.8;8;1.3;231;80;1010
2005;1;1;8;-63.1;0.9;0;2;2;15.7;6.3;8;2.1;192;77;1010
2005;1;1;9;-55.2;12.3;10;86;96;17.3;7.3;8;1.8;169;72;1010
2005;1;1;10;-45.3;22.5;41;183;224;19.1;6.6;8;3.5;253;64;1010
2005;1;1;11;-33.2;31;78;248;326;20.8;6.6;7;2.8;95;57;1010
2005;1;1;12;-18.1;36.8;14;244;258;21.4;8.6;8;2.6;181;55;1010
2005;1;1;13;-0.5;39;28;304;333;22.2;7.6;8;3.1;145;51;1010
2005;1;1;14;16.3;37.2;23;264;287;22.5;8.7;8;3.3;103;51;1010
2005;1;1;15;31.5;31.7;93;255;348;23;6.9;7;2.8;100;49;1010
2005;1;1;16;44.3;23.5;36;178;214;22.9;8;8;4;176;49;1010
2005;1;1;17;54.2;13.4;3;88;91;22.2;8.6;8;3.1;36;50;1010
2005;1;1;18;62.2;2.1;0;3;3;21.2;8.3;8;3.3;155;53;1010
2005;1;1;19;69.1;0;0;0;0;20.5;10.4;8;2.6;97;68;1010
2005;1;1;20;74.6;0;0;0;0;19.8;12.2;7;2.6;146;84;1010
2005;1;1;21;80.3;0;0;0;0;19.1;11.7;7;2.8;159;87;1011
2005;1;1;22;86.1;0;0;0;0;18.5;10.9;7;1.9;120;87;1011
2005;1;1;23;93;0;0;0;0;17.7;9.9;7;1.3;175;87;1011
2005;1;1;24;105.3;0;0;0;0;16.9;8.9;7;1.2;171;87;1011
2005;1;2;1;-170.4;0;0;0;0;16.1;7.8;7;1.3;202;87;1011
2005;1;2;2;-108.2;0;0;0;0;15.2;6.7;7;2.6;175;87;1011
2005;1;2;3;-94.1;0;0;0;0;14.3;5.5;7;3.7;145;87;1011
2005;1;2;4;-86.6;0;0;0;0;13.8;4.8;7;3.3;65;87;1011
2005;1;2;5;-81.1;0;0;0;0;13.3;4.2;7;4;97;88;1012
2005;1;2;6;-75.4;0;0;0;0;13;3.7;7;3.3;35;88;1012
2005;1;2;7;-69.5;0;0;0;0;12.6;3.5;7;3.7;97;91;1012
2005;1;2;8;-63.2;0.9;0;5;5;12.7;3.3;7;2.1;74;90;1012
2005;1;2;9;-55.3;12.3;55;78;132;14.7;4.2;7;2.4;174;82;1012
